Question,Answer
Какие дипломы по физике защитывабтся вместо экзаменов в 10 класс?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года."
Что дает диплом призера или победителя олимпиады Физтех по физике?,"На поступление в 10 класс в Физтех-лицей влияет диплом заключительного этапа, который проводился 25 февраля 2018 года."
Будет ли в лицее день открытых дверей в ближайшее время?,Проведение дня открытых дверей в этом учебном году не планируется.
Намечается ли в Физтех-лицее день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.
Когда день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.
Когда будет день открытых дверей?,Проведение дня открытых дверей в этом учебном году не планируется.
"Подскажите, пожалуйста, какие данные должны содержаться в справке из школы для первого этапа. Нужна ли фотография в справке для первого этапа?","В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта."
Какие данные должны быть в справке из школы для первого этапа? Нужна ли фотография ребенка?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта."
Какие документы нужны для первого этапа?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта."
Что должно быть написано в справке из школы?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта."
Что должно быть в справке из школы для поступления?,"В справке должны быть указаны: ФИО учащегося (полностью), название образовательной организации с указанием населенного пункта, класса обучения, дата выдачи справки. Справка заверяется подписью ответственного лица и печатью. Фотография необходима для учащихся, не имеющих паспорта."
Будет ли ограничение по количеству поступающих при электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.
Планируется ли ограничить число поступающих по электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.
Есть ограничение при электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.
Мы зарегистрировались онлайн. Нас все равно примут?,Ограничений по количеству поступающих при электронной регистрации не будет.
Какое ограничение по числу поступающих по электронной регистрации?,Ограничений по количеству поступающих при электронной регистрации не будет.
"Я хотел бы уточнить, можно ли узнать примерные темы первого тестирования по информатике для поступления в 10 информационно-технологический класс.","Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки""."
Где можно узнать темы первичного тестирования по информатике для поступления в информационно-технологический класс?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки""."
К чему нужно готовится если поступаешь на информатику?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки""."
Есть ли варианты тестирования по информатике за 10 класс прошлых лет?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки""."
По каким темам необходимо подготовиться для поступления в 10 информационно-технологический класс?,"Демоверсии заданий по информатике первого этапа вступительных испытаний размещены в разделе ""Материалы для подготовки""."
"Мой ребенок хочет поступить в 9 класс лицея. Скажите, пожалуйста, в какой форме проходит первый этап вступительных испытаний?",Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.
Как проходит первый этап вступительных испытания для поступающих в 9 класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.
Как проходят вступительные?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.
Какие экзамены надо сдавать в девятый класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.
В какой форме проходят вступительные экзамены в 9 класс?,Вступительные испытания на первом этапе представляют собой выполнение письменных работ по профильным предметам.
"Подскажите, пожалуйста, когда начнется прием на 2018-2019 гг. И где можно узнать эту информацию.",Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.
Подскажите когда начнется прием заявок на поступление на 2018-2019 год обучения?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.
Когда начинается прием?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.
Где можно узнать правила набора на 2018-2019 учебный год?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.
Когда начнется прием 2018-2019?,Первый этап вступительных испытаний начнется 25 марта 2018 года. Электронная регистрация откроется 12 марта на сайте лицея. Подробнее можно прочитать в Правилах приема.
Является ли факт электронной регистрации одновременно подтверждением участия ребенка в выбранном потоке?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке."
"Является ли наличие электронной регистрации подтверждением того, что ребенок участвует в потоке?","Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке."
Достаточно только зарегестрировать ребенка по электронной регистрации?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке."
Я зарегисрировала ребенка онлайн (электронно) этого достаточно для участия? Или надо прийти лично?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке."
Электронная регистрация подтверждает участие в выбранном потоке?,"Да, подтверждение регистрации является подтверждением участия ребенка в выбранном потоке."
"Если я правильно поняла, первый этап испытаний проводится очно. В связи с этим, хотелось бы уточнить время начала и окончания испытаний.","И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00."
Можно ли узнать время начала и окончания испытаний для первого этапа?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00."
Когда проходит первый этап?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00."
А когда начинается первый этап? И сколько он длится?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00."
Когда начинается первый этап испытаний?,"И первый, и второй этап - очные. Начало вступительных испытаний на первом этапе в 10:00. Окончание - в зависимости от количества выбранных предметов (два или три), но не позднее 16:00."
"К сожалению, не могу найти приложение с заявлением и согласием на обработку персональных данных, была бы Вам признательна, если бы Вы указали ссылку или путь к данным документам.",Формы заявления и согласия будут размещены по ссылке.
"Выдайте, пожалуйста, ссылку на заявление с согласием на обработку персональных данных.",Формы заявления и согласия будут размещены по ссылке.
Где найти заявление на обработку персональных данных?,Формы заявления и согласия будут размещены по ссылке.
Где взять шаблон заявления об обработке персональных данных?,Формы заявления и согласия будут размещены по ссылке.
Где найти заявление на обработку персональных данных?,Формы заявления и согласия будут размещены по ссылке.
Где можно посмотреть демонстрационные варианты экзаменов первого этапа и список тем для подготовки?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки""."
Где можно найти варианты экзаменов прошлых лет первого этапа?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки""."
"Как можно готовится к экзамену, есть ли прошлогодние варианты?","Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки""."
Есть ли варианты экзаменов за прошлые года?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки""."
Где посмотреть примеры вариантов вступительных экзаменов?,"Материалы для подготовки будут размещены в ближайшее время на сайте лицея в разделе ""Материалы для подготовки""."
"В прошлом году рекомендация преподавателя центра ""Физтех-Потенциал"" давала льготы при поступлении. Скажите, пожалуйста, даёт ли она льготы в этом году?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении."
"Дает ли льготы рекоммендация преподавателя ""Физтех-Потенциал"" в этом году?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении."
Как рекомендация учителя может повлиять на поступление?,"Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении."
"Скажите, а рекомендации от преподавателей центра Физтех потенциал еще дают льготы при поступлении?","Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении."
Даёт ли льготы рекомендация преподавателя центра Физтех-Потенциал при поступлении?,"Рекомендация преподавателя центра ""Физтех-Потенциал"" не даёт льготы при поступлении."
